Dstar_OWNPV_X Dstar_OWNPV_Y Dstar_OWNPV_Z Dstar_ENDVERTEX_X Dstar_ENDVERTEX_Y Dstar_ENDVERTEX_Z D_ENDVERTEX_X D_ENDVERTEX_Y D_ENDVERTEX_Z K_PX K_PY K_PZ Pd_PX Pd_PY Pd_PZ Ps_PX Ps_PY Ps_PZ
0.5549 -0.0332 -44.5934 0.271251499523 -0.835454630164 -22.8373621717 0.3403 -0.6946 -26.9019 -105.86 -1977.05 47157.84 -1014.54 -267.31 17838.52 -122.797858494 -240.431847228 6106.17462839
0.4759 -0.09 18.9553 -3.55908043157 6.97969192359 -134.874967607 0.3308 -0.1834 43.841 1258.98 -1011.28 26686.41 -547.41 -298.96 5996.06 42.1488257219 -121.998097022 2913.11190683
0.4536 -0.1095 10.936 0.461306671485 0.0807664532749 12.7683224718 0.2262 0.7312 19.6715 -1312.71 1935.92 18218.94 -879.8 4067.35 45691.78 -229.912485488 554.773679446 5729.84620444
0.446 -0.0414 -5.7143 0.75222756902 1.28135399331 17.4633030718 0.5144 0.7814 10.8251 -186.87 453.23 13424.52 1178.88 1636.75 14764.37 32.0368917601 132.026036571 1904.02926452
0.4537 -0.0474 -6.6589 0.80637690713 0.261129427241 -2.07097682025 1.1923 0.4031 12.4108 364.03 1055.91 24576.44 902.52 -590.04 22954.49 27.1578980916 7.38516856121 1942.58613502
0.4352 -0.0562 58.2134 1.28316081711 1.20622594918 95.8897602176 0.8076 0.4895 72.9245 311.8 1374.5 20395.52 1111.04 739.06 47514.58 156.622687587 248.311934757 7241.24115141
0.4352 -0.0562 58.2134 0.760269346039 0.421898255204 70.6895042368 0.8076 0.4895 72.9245 311.8 1374.5 20395.52 1111.04 739.06 47514.58 27.9074972063 108.594546668 3949.51878438
0.4814 -0.0331 15.3704 -1.89149754669 1.32280163711 56.0677764406 -0.1698 0.2256 26.1601 -2723.11 2227.02 45021.29 -269.7 -326.48 6946.66 -295.774471648 188.722289736 5211.75363594
0.4869 0.0086 62.4559 -0.412927089553 -0.270907931289 53.9416510707 0.3974 -0.7697 79.1818 -390.59 -567.64 8451.33 1207.85 66.54 16969.06 42.1130069468 -3.50708977062 2405.65886107
0.4536 -0.0079 34.7902 1.30464668443 1.53173739202 48.3965656575 1.4486 1.8535 50.8808 1970.94 4821.24 41978.11 1326.94 2498.54 14693.1 322.736870444 636.218190518 4824.16702483
0.4588 -0.0456 63.87 -0.118148370397 0.297506470775 44.0643162916 0.436 -0.2428 76.0689 237.7 -1234.92 38739.17 623.71 398.01 10968.58 119.013540356 -56.2289315872 3553.46294401
0.5236 -0.0308 26.7978 1.03616586191 0.961703887782 8.4578575847 0.158 -0.5757 39.5818 389.5 -1001.74 13164.2 -1252.0 -509.89 17417.68 25.6826473206 -132.46382933 2497.26741933
